trial,initial_funds,small,large,date,small_sma,large_sma,a1_name,a1_funds,a1_bitcoins,a1_worth,a2_name,a2_funds,a2_bitcoins,a2_worth
1,100.00,50,200,2017-03-30,1199.728493,1199.728493,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
1,100.00,50,200,2017-03-31,1205.321648,1205.321648,Greedy,0.00,0.09,100.00,Random,52.46,0.04,100.00
1,100.00,50,200,2017-04-01,1209.806421,1209.806421,Greedy,0.00,0.09,100.90,Random,52.46,0.04,100.43
1,100.00,50,200,2017-04-02,1214.261807,1214.261807,Greedy,0.00,0.09,101.76,Random,52.46,0.04,100.84
1,100.00,50,200,2017-04-03,1218.703569,1218.703569,Greedy,0.00,0.09,106.29,Random,52.46,0.04,102.99
1,100.00,50,200,2017-04-04,1221.546472,1221.546472,Greedy,0.00,0.09,105.93,Random,52.46,0.04,102.82
1,100.00,50,200,2017-04-05,1224.788158,1224.788158,Greedy,105.12,0.00,105.12,Random,90.48,0.01,102.43
1,100.00,50,200,2017-04-06,1228.692078,1228.692078,Greedy,105.12,0.00,105.12,Random,90.48,0.01,103.02
1,100.00,50,200,2017-04-07,1230.423673,1230.423673,Greedy,105.12,0.00,105.12,Random,101.40,0.00,103.04
1,100.00,50,200,2017-04-08,1232.204848,1232.204848,Greedy,105.12,0.00,105.12,Random,102.70,0.00,103.03
1,100.00,50,200,2017-04-09,1234.573890,1234.573890,Greedy,0.00,0.09,105.12,Random,74.89,0.02,103.04
1,100.00,50,200,2017-04-10,1235.864358,1235.864358,Greedy,0.00,0.09,105.40,Random,74.89,0.02,103.12
1,100.00,50,200,2017-04-11,1237.115767,1237.115767,Greedy,106.39,0.00,106.39,Random,84.44,0.02,103.38
1,100.00,50,200,2017-04-12,1237.842165,1237.842165,Greedy,0.00,0.09,106.39,Random,37.36,0.05,103.25
1,100.00,50,200,2017-04-13,1239.175737,1239.175738,Greedy,0.00,0.09,103.07,Random,13.42,0.07,101.20
1,100.00,50,200,2017-04-14,1243.218587,1243.218587,Greedy,0.00,0.09,103.50,Random,13.42,0.07,101.56
1,100.00,50,200,2017-04-15,1247.488486,1247.488486,Greedy,0.00,0.09,103.26,Random,13.42,0.07,101.36
1,100.00,50,200,2017-04-16,1252.626138,1252.626138,Greedy,0.00,0.09,103.62,Random,13.42,0.07,101.66
1,100.00,50,200,2017-04-17,1258.279400,1258.279400,Greedy,0.00,0.09,105.28,Random,13.42,0.07,103.07
1,100.00,50,200,2017-04-18,1263.238345,1263.238345,Greedy,0.00,0.09,106.49,Random,13.42,0.07,104.11
1,100.00,50,200,2017-04-19,1267.802580,1267.802580,Greedy,0.00,0.09,107.31,Random,13.42,0.07,104.80
1,100.00,50,200,2017-04-20,1272.342978,1272.342978,Greedy,109.80,0.00,109.80,Random,53.26,0.04,106.92
1,100.00,50,200,2017-04-21,1274.460475,1274.460475,Greedy,0.00,0.09,109.80,Random,41.49,0.05,107.00
1,100.00,50,200,2017-04-22,1276.935543,1276.935543,Greedy,0.00,0.09,108.68,Random,41.49,0.05,106.33
1,100.00,50,200,2017-04-23,1282.362300,1282.362300,Greedy,0.00,0.09,109.02,Random,41.49,0.05,106.53
1,100.00,50,200,2017-04-24,1289.191260,1289.191260,Greedy,0.00,0.09,109.03,Random,41.49,0.05,106.54
1,100.00,50,200,2017-04-25,1299.407825,1299.407825,Greedy,0.00,0.09,110.36,Random,41.49,0.05,107.33
1,100.00,50,200,2017-04-26,1311.362100,1311.362100,Greedy,0.00,0.09,112.22,Random,41.49,0.05,108.44
1,100.00,50,200,2017-04-27,1324.620650,1324.620650,Greedy,0.00,0.09,116.09,Random,41.49,0.05,110.75
1,100.00,50,200,2017-04-28,1320.051300,1320.051300,Greedy,0.00,0.09,115.29,Random,41.49,0.05,110.27
2,100.00,50,200,2017-03-30,1199.728493,1199.728493,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
2,100.00,50,200,2017-03-31,1205.321648,1205.321648,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
2,100.00,50,200,2017-04-01,1209.806421,1209.806421,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
2,100.00,50,200,2017-04-02,1214.261807,1214.261807,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
2,100.00,50,200,2017-04-03,1218.703569,1218.703569,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
2,100.00,50,200,2017-04-04,1221.546472,1221.546472,Greedy,0.00,0.09,100.00,Random,76.81,0.02,100.00
2,100.00,50,200,2017-04-05,1224.788158,1224.788158,Greedy,99.24,0.00,99.24,Random,95.67,0.00,99.82
2,100.00,50,200,2017-04-06,1228.692078,1228.692078,Greedy,0.00,0.08,99.24,Random,92.61,0.01,100.03
2,100.00,50,200,2017-04-07,1230.423673,1230.423673,Greedy,0.00,0.08,99.44,Random,92.61,0.01,100.04
2,100.00,50,200,2017-04-08,1232.204848,1232.204848,Greedy,0.00,0.08,98.75,Random,92.61,0.01,99.99
2,100.00,50,200,2017-04-09,1234.573890,1234.573890,Greedy,0.00,0.08,100.86,Random,60.44,0.03,100.15
2,100.00,50,200,2017-04-10,1235.864358,1235.864358,Greedy,0.00,0.08,101.13,Random,0.57,0.08,100.25
2,100.00,50,200,2017-04-11,1237.115767,1237.115767,Greedy,0.00,0.08,102.08,Random,0.57,0.08,101.19
2,100.00,50,200,2017-04-12,1237.842165,1237.842165,Greedy,101.39,0.00,101.39,Random,30.07,0.06,100.52
2,100.00,50,200,2017-04-13,1239.175737,1239.175737,Greedy,101.39,0.00,101.39,Random,30.07,0.06,98.32
2,100.00,50,200,2017-04-14,1243.218587,1243.218587,Greedy,0.00,0.09,101.39,Random,16.45,0.07,98.60
2,100.00,50,200,2017-04-15,1247.488486,1247.488486,Greedy,0.00,0.09,101.16,Random,6.30,0.08,98.41
2,100.00,50,200,2017-04-16,1252.626138,1252.626138,Greedy,0.00,0.09,101.51,Random,4.73,0.08,98.73
2,100.00,50,200,2017-04-17,1258.279400,1258.279400,Greedy,0.00,0.09,103.13,Random,4.73,0.08,100.23
2,100.00,50,200,2017-04-18,1263.238345,1263.238345,Greedy,0.00,0.09,104.32,Random,1.10,0.08,101.33
2,100.00,50,200,2017-04-19,1267.802580,1267.802580,Greedy,0.00,0.09,105.12,Random,0.48,0.08,102.10
2,100.00,50,200,2017-04-20,1272.342978,1272.342978,Greedy,0.00,0.09,107.56,Random,0.48,0.08,104.46
2,100.00,50,200,2017-04-21,1274.460475,1274.460475,Greedy,0.00,0.09,107.71,Random,0.48,0.08,104.60
2,100.00,50,200,2017-04-22,1276.935543,1276.935543,Greedy,0.00,0.09,106.62,Random,0.48,0.08,103.55
2,100.00,50,200,2017-04-23,1282.362300,1282.362300,Greedy,0.00,0.09,106.94,Random,0.48,0.08,103.86
2,100.00,50,200,2017-04-24,1289.191260,1289.191260,Greedy,0.00,0.09,106.95,Random,0.48,0.08,103.87
2,100.00,50,200,2017-04-25,1299.407825,1299.407825,Greedy,0.00,0.09,108.26,Random,0.18,0.08,105.13
2,100.00,50,200,2017-04-26,1311.362100,1311.362100,Greedy,0.00,0.09,110.08,Random,0.18,0.08,106.90
2,100.00,50,200,2017-04-27,1324.620650,1324.620650,Greedy,0.00,0.09,113.88,Random,0.18,0.08,110.59
2,100.00,50,200,2017-04-28,1320.051300,1320.051300,Greedy,0.00,0.09,113.10,Random,0.18,0.08,109.83
3,100.00,50,200,2017-03-30,1199.728493,1199.728493,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
3,100.00,50,200,2017-03-31,1205.321648,1205.321648,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
3,100.00,50,200,2017-04-01,1209.806421,1209.806421,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
3,100.00,50,200,2017-04-02,1214.261807,1214.261807,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
3,100.00,50,200,2017-04-03,1218.703569,1218.703569,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
3,100.00,50,200,2017-04-04,1221.546472,1221.546472,Greedy,100.00,0.00,100.00,Random,100.00,0.00,100.00
3,100.00,50,200,2017-04-05,1224.788158,1224.788158,Greedy,0.00,0.09,100.00,Random,26.43,0.06,100.00
